input string: "The quick brown fox jumps over the lazy dog"
step,input A,B,C,D,"f(B,C,D)",msg idx,msg,output,before rot,after rot
00,0x67452301,0xefcdab89,0x98badcfe,0x10325476,0x98badcfe,00,0x20656854,0xd7d41184,0xf7d00ccb,0xe80665fb
01,0x10325476,0xd7d41184,0xefcdab89,0x98badcfe,0xcfeecdfa,01,0x63697571,0xfcc78449,0x2c524f37,0x24f372c5
02,0x98badcfe,0xfcc78449,0xd7d41184,0xefcdab89,0xd7cc2b80,02,0x7262206b,0x304f925c,0x070999c4,0x33880e13
03,0xefcdab89,0x304f925c,0xfcc78449,0xd7d41184,0xf7d781c8,03,0x206e776f,0x1c0206b8,0xc9d173ae,0xebb2745c
04,0xd7d41184,0x1c0206b8,0x304f925c,0xfcc78449,0xf0c78259,04,0x20786f66,0x640b8027,0xde9012f2,0x4809796f
05,0xfcc78449,0x640b8027,0x1c0206b8,0x304f925c,0x14461278,05,0x706d756a,0x9130dcb7,0xc902d255,0x2d255c90
06,0x304f925c,0x9130dcb7,0x640b8027,0x1c0206b8,0x0c02822f,06,0x766f2073,0x87539299,0x5af17b11,0xf622b5e2
07,0x1c0206b8,0x87539299,0x9130dcb7,0x640b8027,0xe11890b7,07,0x74207265,0x3caf3300,0x6e819ed5,0xb55ba067
08,0x640b8027,0x3caf3300,0x87539299,0x9130dcb7,0x8513deb7,08,0x6c206568,0x9cddc25f,0xbec05d1e,0x602e8f5f
09,0x9130dcb7,0x9cddc25f,0x3caf3300,0x87539299,0x1f8f1280,09,0x20797a61,0x82f23826,0x5c7e6147,0xe61475c7
10,0x87539299,0x82f23826,0x9cddc25f,0x3caf3300,0xbcdd0306,10,0x80676f64,0x445bc154,0xc49760b4,0xc169892e
11,0x3caf3300,0x445bc154,0x82f23826,0x9cddc25f,0x98d6020f,11,0x00000000,0x77b379d7,0x5ee20ccd,0x3357b883
12,0x9cddc25f,0x77b379d7,0x445bc154,0x82f23826,0xc4534174,12,0x00000000,0xd83df4bd,0xccc114f5,0x608a7ae6
13,0x82f23826,0xd83df4bd,0x77b379d7,0x445bc154,0x547371d5,13,0x00000000,0xb9f6e20c,0xd4fe1b8e,0xe1b8ed4f
14,0x445bc154,0xb9f6e20c,0xd83df4bd,0x77b379d7,0xde35f9df,14,0x00000158,0xba2a7422,0xc90b0019,0x00339216
15,0x77b379d7,0xba2a7422,0xb9f6e20c,0xd83df4bd,0xf837e09d,15,0x00000000,0x5f98dbfa,0xb99f6295,0xa56e67d8
16,0xd83df4bd,0x5f98dbfa,0xba2a7422,0xb9f6e20c,0x1b98d62a,01,0x63697571,0x0b659343,0x4d5e65ba,0xabccb749
17,0xb9f6e20c,0x0b659343,0x5f98dbfa,0xba2a7422,0x4fb09bda,06,0x766f2073,0xba08c5c3,0x40575199,0xaea33280
18,0xba2a7422,0xba08c5c3,0x0b659343,0x5f98dbfa,0x1a6dc1c3,11,0x00000000,0x5e168480,0xfaf69036,0xa40dbebd
19,0x5f98dbfa,0x5e168480,0xba08c5c3,0x0b659343,0xba0cc480,00,0x20656854,0x6598c09d,0x23c1d078,0x07823c1d
20,0x0b659343,0x6598c09d,0x5e168480,0xba08c5c3,0x641ec081,05,0x706d756a,0x29b3f213,0xb620d98b,0xc41b3176
21,0xba08c5c3,0x29b3f213,0x6598c09d,0x5e168480,0x299ac01d,10,0x80676f64,0xc7c720df,0x664f0997,0x9e132ecc
22,0x5e168480,0xc7c720df,0x29b3f213,0x6598c09d,0x4da3329f,15,0x00000000,0xaf2f41f5,0x845b9da0,0xe7682116
23,0x6598c09d,0xaf2f41f5,0xc7c720df,0x29b3f213,0xef6740dd,04,0x20786f66,0x79b516bb,0x5d4c6ca8,0xca85d4c6
24,0x29b3f213,0x79b516bb,0xaf2f41f5,0xc7c720df,0x69ad41bb,09,0x20797a61,0x31449975,0xd5bc7c15,0xb78f82ba
25,0xc7c720df,0x31449975,0x79b516bb,0xaf2f41f5,0x7194177f,14,0x00000158,0x55c7b36e,0xfc92418c,0x248319f9
26,0xaf2f41f5,0x55c7b36e,0x31449975,0x79b516bb,0x51c59b6e,03,0x206e776f,0x6e5df8fc,0x16386259,0x1896458e
27,0x79b516bb,0x6e5df8fc,0x55c7b36e,0x31449975,0x64c7ba7e,08,0x6c206568,0x2746f870,0x8ff74b8e,0xb8e8ff74
28,0x31449975,0x2746f870,0x6e5df8fc,0x55c7b36e,0x2f5ef8f0,13,0x00000000,0x783665b1,0x0a877b6a,0x50ef6d41
29,0x55c7b36e,0x783665b1,0x2746f870,0x6e5df8fc,0x691660b0,02,0x7262206b,0xd7e7680d,0x2e2fd881,0x5fb1025c
30,0x6e5df8fc,0xd7e7680d,0x783665b1,0x2746f870,0x5f766d81,07,0x74207265,0xced65265,0xa963dbbb,0xf6eeea58
31,0x2746f870,0xced65265,0xd7e7680d,0x783665b1,0xcfd7482d,12,0x00000000,0xa14e96ed,0x84488d27,0xd2784488
32,0x783665b1,0xa14e96ed,0xced65265,0xd7e7680d,0xb87fac85,05,0x706d756a,0xb32aa517,0xa11dc0e2,0x11dc0e2a
33,0xd7e7680d,0xb32aa517,0xa14e96ed,0xced65265,0xdcb2619f,08,0x6c206568,0x14575258,0xa82c2595,0x612cad41
34,0xced65265,0x14575258,0xb32aa517,0xa14e96ed,0x063361a2,11,0x00000000,0x298094ff,0x42a71529,0x152942a7
35,0xa14e96ed,0x298094ff,0x14575258,0xb32aa517,0x8efd63b0,14,0x00000158,0x2a17ad99,0x2e313401,0x0097189a
36,0xb32aa517,0x2a17ad99,0x298094ff,0x14575258,0x17c06b3e,01,0x63697571,0x5b4eae46,0xd313700a,0x313700ad
